Serial Number,Name,Symptoms
308,Pediatric white blood cell disorders,"
Book: Mayo Clinic Family Health Book, 5th Edition
,
Newsletter: Mayo Clinic Health Letter — Digital Edition
,"
309,Prescription drug abuse,"Opioids used to treat pain, for example medications containing oxycodone — such as Oxycontin and Percocet — and those containing hydrocodone — such as Norco,Anti-anxiety medications and sedatives, such as alprazolam (Xanax) and diazepam (Valium), and hypnotics, such as zolpidem (Ambien), used to treat anxiety and sleep disorders,Stimulants, such as methylphenidate (Ritalin, Concerta, others), dextroamphetamine and amphetamine (Adderall XR, Mydayis), and dextroamphetamine (Dexedrine), used to treat attention-deficit/hyperactivity disorder (ADHD) and certain sleep disorders,"
310,Heat exhaustion,"Cool, moist skin with goose bumps when in the heat,Heavy sweating,Faintness,Dizziness,Fatigue,Weak, rapid pulse,Low blood pressure upon standing,Muscle cramps,Nausea,Headache,"
311,Kleptomania,"Inability to resist powerful urges to steal items that you don't need,Feeling increased tension, anxiety or arousal leading up to the theft,Feeling pleasure, relief or gratification while stealing,Feeling terrible guilt, remorse, self-loathing, shame or fear of arrest after the theft,Return of the urges and a repetition of the kleptomania cycle,"
312,Lipoma,"Situated just under the skin. They commonly occur in the neck, shoulders, back, abdomen, arms and thighs.,Soft and doughy to the touch. They also move easily with slight finger pressure.,Generally small. Lipomas are typically less than 2 inches (5 centimeters) in diameter, but they can grow.,Sometimes painful. Lipomas can be painful if they grow and press on nearby nerves or if they contain many blood vessels.,"
313,Moles,"Color and texture. Moles can be brown, tan, black, red, blue or pink. They can be smooth, wrinkled, flat or raised. They may have hair growing from them.,Shape. Most moles are oval or round.,Size. Moles are usually less than 1/4 inch (about 6 millimeters) in diameter — the size of a pencil eraser. Rarely, moles present at birth (congenital nevi) can be much bigger, covering wide areas of the face, torso or a limb.,"
314,Ventricular septal defect (VSD),"Poor eating, failure to thrive,Fast breathing or breathlessness,Easy tiring,"
315,Soft tissue sarcoma,"
Chemotherapy
,
CT scan
,
MRI
,
Needle biopsy
,
Positron emission tomography scan
,
Radiation therapy
,
Ultrasound
,
X-ray
,"
316,Occupational asthma,"Wheezing, sometimes just at night,Coughing,Shortness of breath,Chest tightness,"
317,Chondrosarcoma,"Increasing pain,A swelling or palpable mass,Fracture due to weakened bone,"
318,Charcot-Marie-Tooth disease,"Weakness in your legs, ankles and feet,Loss of muscle bulk in your legs and feet,High foot arches,Curled toes (hammertoes),Decreased ability to run,Difficulty lifting your foot at the ankle (footdrop),Awkward or higher than normal step (gait),Frequent tripping or falling,Decreased sensation or a loss of feeling in your legs and feet,"
319,Complicated grief,"Intense sorrow, pain and rumination over the loss of your loved one,Focus on little else but your loved one's death,Extreme focus on reminders of the loved one or excessive avoidance of reminders,Intense and persistent longing or pining for the deceased,Problems accepting the death,Numbness or detachment,Bitterness about your loss,Feeling that life holds no meaning or purpose,Lack of trust in others,Inability to enjoy life or think back on positive experiences with your loved one,"
320,Reactive attachment disorder,"Unexplained withdrawal, fear, sadness or irritability,Sad and listless appearance,Not seeking comfort or showing no response when comfort is given,Failure to smile,Watching others closely but not engaging in social interaction,Failing to ask for support or assistance,Failure to reach out when picked up,No interest in playing peekaboo or other interactive games,"
321,Diphtheria,"
Mayo Clinic Minute: The ABCs of the DTaP vaccine
April 11, 2019, 07:00 a.m.  CDT
,"
322,Hypoparathyroidism,"Tingling or burning in your fingertips, toes and lips,Muscle aches or cramps in your legs, feet, stomach or face,Twitching or spasms of your muscles, particularly around your mouth, but also in your hands, arms and throat,Fatigue or weakness,Painful menstrual periods,Patchy hair loss,Dry, coarse skin,Brittle nails,Depression or anxiety,"
323,Yeast infection (vaginal),"Itching and irritation in the vagina and vulva,A burning sensation, especially during intercourse or while urinating,Redness and swelling of the vulva,Vaginal pain and soreness,Vaginal rash,Thick, white, odor-free vaginal discharge with a cottage cheese appearance,Watery vaginal discharge,"
324,Cirrhosis,"
CT scan
,
Liver biopsy
,
Liver function tests
,
Liver transplant
,
Magnetic resonance elastography
,
MRI
,
Ultrasound
,"
325,Pulmonary fibrosis,"Shortness of breath (dyspnea),A dry cough,Fatigue,Unexplained weight loss,Aching muscles and joints,Widening and rounding of the tips of the fingers or toes (clubbing),"
326,Whipple's disease,"Diarrhea,Abdominal cramping and pain, which may worsen after meals,Weight loss, associated with the malabsorption of nutrients,"
327,Benign paroxysmal positional vertigo (BPPV),"Dizziness,A sense that you or your surroundings are spinning or moving (vertigo),A loss of balance or unsteadiness,Nausea,Vomiting,"
328,Supraventricular tachycardia,"
EP study
,
SVT ablation
,"
329,POEMS syndrome,"
Book: Mayo Clinic Family Health Book, 5th Edition
,
Newsletter: Mayo Clinic Health Letter — Digital Edition
,"
330,Stomach polyps,"Pain or tenderness when you press your abdomen,Nausea,Blood in your stool,Anemia,"
331,Spinal stenosis,"Numbness or tingling in a hand, arm, foot or leg,Weakness in a hand, arm, foot or leg,Problems with walking and balance,Neck pain,In severe cases, bowel or bladder dysfunction (urinary urgency and incontinence),"
332,Broken ribs,"Take a deep breath,Press on the injured area,Bend or twist your body,"
333,Alcohol use disorder,"Being unable to limit the amount of alcohol you drink,Wanting to cut down on how much you drink or making unsuccessful attempts to do so,Spending a lot of time drinking, getting alcohol or recovering from alcohol use,Feeling a strong craving or urge to drink alcohol,Failing to fulfill major obligations at work, school or home due to repeated alcohol use,Continuing to drink alcohol even though you know it's causing physical, social or interpersonal problems,Giving up or reducing social and work activities and hobbies,Using alcohol in situations where it's not safe, such as when driving or swimming,Developing a tolerance to alcohol so you need more to feel its effect or you have a reduced effect from the same amount,Experiencing withdrawal symptoms — such as nausea, sweating and shaking — when you don't drink, or drinking to avoid these symptoms,"
334,Alcohol poisoning,"Confusion,Vomiting,Seizures,Slow breathing (less than eight breaths a minute),Irregular breathing (a gap of more than 10 seconds between breaths),Blue-tinged skin or pale skin,Low body temperature (hypothermia),Passing out (unconsciousness) and can't be awakened,"
335,Multiple myeloma,"Bone pain, especially in your spine or chest,Nausea,Constipation,Loss of appetite,Mental fogginess or confusion,Fatigue,Frequent infections,Weight loss,Weakness or numbness in your legs,Excessive thirst,"
336,Congenital heart defects in children,"
Cardiac catheterization
,
Chest X-rays
,
Echocardiogram
,
Electrocardiogram (ECG or EKG)
,
Heart transplant
,"
337,Molluscum contagiosum,"Symptoms & causes,Diagnosis & treatment,"
338,Diabetes insipidus,"Extreme thirst,Producing large amounts of diluted urine,Frequent need to get up to urinate during the night,Preference for cold drinks,"
339,Transient global amnesia,"Sudden onset of memory loss, verified by a witness,Retention of personal identity despite memory loss,Normal cognition, such as the ability to recognize and name familiar objects and follow simple directions,Absence of signs indicating damage to a particular area of the brain, such as limb paralysis, involuntary movement or impaired word recognition,"
340,Neuromyelitis optica,"
Study shows drug reduces risk of relapse with neuromyelitis optica
May 03, 2019, 03:00 p.m.  CDT
,"
341,Placental abruption,"Vaginal bleeding, although there might not be any,Abdominal pain,Back pain,Uterine tenderness or rigidity,Uterine contractions, often coming one right after another,"
342,Pheochromocytoma,"High blood pressure,Headache,Heavy sweating,Rapid heartbeat,Tremors,Paleness in the face,Shortness of breath,Panic attack-type symptoms,"
343,Broken collarbone,"Pain that increases with shoulder movement,Swelling,Tenderness,Bruising,A bulge on or near your shoulder,A grinding or crackling sound when you try to move your shoulder,Stiffness or inability to move your shoulder,Newborn children will often not move their arm for several days following a birth-related collarbone fracture.,"
344,Klinefelter syndrome,"Weak muscles,Slow motor development — taking longer than average to sit up, crawl and walk,Delay in speaking,Problems at birth, such as testicles that haven't descended into the scrotum,"
345,Marfan syndrome,"Tall and slender build,Disproportionately long arms, legs and fingers,A breastbone that protrudes outward or dips inward,A high, arched palate and crowded teeth,Heart murmurs,Extreme nearsightedness,An abnormally curved spine,Flat feet,"
346,ACL injury,"A loud ""pop"" or a ""popping"" sensation in the knee,Severe pain and inability to continue activity,Rapid swelling,Loss of range of motion,A feeling of instability or ""giving way"" with weight bearing,"
347,Bee sting,"Instant, sharp burning pain at the sting site,A red welt at the sting area,Slight swelling around the sting area,"
348,Parkinson's disease,"
Acupuncture
,
Deep brain stimulation
,
Massage therapy
,
Meditation
,"
349,Encopresis,"Symptoms & causes,Diagnosis & treatment,"
350,High cholesterol,"Arcus senilis: A sign of high cholesterol?,"
351,Juvenile idiopathic arthritis,"Pain. While your child might not complain of joint pain, you may notice that he or she limps — especially first thing in the morning or after a nap.,Swelling. Joint swelling is common but is often first noticed in larger joints such as the knee.,Stiffness. You might notice that your child appears clumsier than usual, particularly in the morning or after naps.,Fever, swollen lymph nodes and rash. In some cases, high fever, swollen lymph nodes or a rash on the trunk may occur — which is usually worse in the evenings.,"
352,Cardiomyopathy,"
Cardiac catheterization
,
Chest X-rays
,
Echocardiogram
,
Electrocardiogram (ECG or EKG)
,
Extracorporeal membrane oxygenation (ECMO)
,
Heart transplant
,
Implantable cardioverter-defibrillators (ICDs)
,
Needle biopsy
,
Pacemaker
,
Ventricular assist device
,"
353,Cytomegalovirus (CMV) infection,"Newborns who became infected with CMV before they were born (congenital CMV).,Infants who become infected during birth or shortly afterward (perinatal CMV). This group includes babies infected through breast milk.,People who have weakened immune systems, such as those who have had an organ, bone marrow or stem cell transplant, or those who are infected with HIV.,"
354,Trichomoniasis,"An often foul-smelling vaginal discharge — which might be white, gray, yellow or green,Genital redness, burning and itching,Pain with urination or sexual intercourse,"
355,Diverticulitis,"Pain, which may be constant and persist for several days. The lower left side of the abdomen is the usual site of the pain. Sometimes, however, the right side of the abdomen is more painful, especially in people of Asian descent.,Nausea and vomiting.,Fever.,Abdominal tenderness.,Constipation or, less commonly, diarrhea.,"
356,Somatic symptom disorder,"Specific sensations, such as pain or shortness of breath, or more general symptoms, such as fatigue or weakness,Unrelated to any medical cause that can be identified, or related to a medical condition such as cancer or heart disease, but more significant than what's usually expected,A single symptom, multiple symptoms or varying symptoms,Mild, moderate or severe,"
357,Congenital heart defects in children,"Pale gray or blue skin color (cyanosis),Rapid breathing,Swelling in the legs, abdomen or areas around the eyes,Shortness of breath during feedings, leading to poor weight gain,"
358,Toe walking in children,"Symptoms & causes,Diagnosis & treatment,"
359,Non-Hodgkin's lymphoma,"Painless, swollen lymph nodes in your neck, armpits or groin,Abdominal pain or swelling,Chest pain, coughing or trouble breathing,Persistent fatigue,Fever,Night sweats,Unexplained weight loss,"
360,Borderline personality disorder,"An intense fear of abandonment, even going to extreme measures to avoid real or imagined separation or rejection,A pattern of unstable intense relationships, such as idealizing someone one moment and then suddenly believing the person doesn't care enough or is cruel,Rapid changes in self-identity and self-image that include shifting goals and values, and seeing yourself as bad or as if you don't exist at all,Periods of stress-related paranoia and loss of contact with reality, lasting from a few minutes to a few hours,Impulsive and risky behavior, such as gambling, reckless driving, unsafe sex, spending sprees, binge eating or drug abuse, or sabotaging success by suddenly quitting a good job or ending a positive relationship,Suicidal threats or behavior or self-injury, often in response to fear of separation or rejection,Wide mood swings lasting from a few hours to a few days, which can include intense happiness, irritability, shame or anxiety,Ongoing feelings of emptiness,Inappropriate, intense anger, such as frequently losing your temper, being sarcastic or bitter, or having physical fights,"
361,Rett syndrome,"Slowed growth. Brain growth slows after birth. Smaller than normal head size (microcephaly) is usually the first sign that a child has Rett syndrome. As children get older, delayed growth in other parts of the body becomes evident.,Loss of normal movement and coordination. The first signs often include reduced hand control and a decreasing ability to crawl or walk normally. At first, this loss of abilities occurs rapidly and then it continues more gradually. Eventually muscles become weak or may become rigid or spastic with abnormal movement and positioning.,Loss of communication abilities. Children with Rett syndrome typically begin to lose the ability to speak, to make eye contact and to communicate in other ways. They may become disinterested in other people, toys and their surroundings. Some children have rapid changes, such as a sudden loss of speech. Over time, children may gradually regain eye contact and develop nonverbal communication skills.,Abnormal hand movements. Children with Rett syndrome typically develop repetitive, purposeless hand movements that may differ for each person. Hand movements may include hand-wringing, squeezing, clapping, tapping or rubbing.,Unusual eye movements. Children with Rett syndrome tend to have unusual eye movements, such as intense staring, blinking, crossed eyes or closing one eye at a time.,Breathing problems. These include breath-holding, abnormally rapid breathing (hyperventilation), forceful exhalation of air or saliva, and swallowing air. These problems tend to occur during waking hours, but breathing disturbances such as shallow breathing or periodic breathing can occur during sleep.,Irritability and crying. Children with Rett syndrome may become increasingly agitated and irritable as they get older. Periods of crying or screaming may begin suddenly, for no apparent reason, and last for hours. Some children may experience fears and anxiety.,Other abnormal behaviors. These may include, for example, sudden, odd facial expressions and long bouts of laughter, hand licking, and grasping of hair or clothing.,Cognitive disabilities. Loss of skills can be accompanied by a loss of intellectual functioning.,Seizures. Most people who have Rett syndrome experience seizures at some time during their lives. Multiple seizure types may occur and are accompanied by an abnormal electroencephalogram (EEG).,Abnormal curvature of the spine (scoliosis). Scoliosis is common with Rett syndrome. It typically begins between 8 and 11 years of age and increases with age. Surgery may be required if the curvature is severe.,Irregular heartbeat. This is a life-threatening problem for many children and adults with Rett syndrome and can result in sudden death.,Sleep disturbances. Abnormal sleep patterns can include irregular sleep times, falling asleep during the day and being awake at night, or waking in the night with crying or screaming.
     Other symptoms. A variety of other symptoms can occur, such as thin, fragile bones prone to factures; small hands and feet that are usually cold; problems with chewing and swallowing; problems with bowel function; and teeth grinding.
,"
362,Bedbugs,"Red, often with a darker red spot in the middle,Itchy,Arranged in a rough line or in a cluster,Located on the face, neck, arms and hands,"
363,Cellulite,"
Anatomy of cellulite
,"
364,Infant reflux,"Isn't gaining weight,Consistently spits up forcefully, causing stomach contents to shoot out of his or her mouth (projectile vomiting),Spits up green or yellow fluid,Spits up blood or a material that looks like coffee grounds,Refuses food,Has blood in his or her stool,Has difficulty breathing or a chronic cough,Begins spitting up at age 6 months or older,Is unusually irritable after eating,"
365,Radiation sickness,"Nausea and vomiting,Diarrhea,Headache,Fever,Dizziness and disorientation,Weakness and fatigue,Hair loss,Bloody vomit and stools from internal bleeding,Infections,Low blood pressure,"
366,Ataxia,"Poor coordination,Unsteady walk and a tendency to stumble,Difficulty with fine motor tasks, such as eating, writing or buttoning a shirt,Change in speech,Involuntary back-and-forth eye movements (nystagmus),Difficulty swallowing,"
367,Bile reflux,"Upper abdominal pain that may be severe,Frequent heartburn — a burning sensation in your chest that sometimes spreads to your throat, along with a sour taste in your mouth,Nausea,Vomiting a greenish-yellow fluid (bile),Occasionally, a cough or hoarseness,Unintended weight loss,"
368,Bone spurs,"Knee. Bone spurs in your knee can make it painful to extend and bend your leg.,Spine. On your vertebrae, bone spurs can narrow the space that contains your spinal cord. These bone spurs can pinch the spinal cord or its nerve roots and can cause weakness or numbness in your arms or legs.,Hip. Bone spurs can make it painful to move your hip, although you might feel the pain in your knee. Depending on their placement, bone spurs can reduce the range of motion in your hip joint.,"
369,Soft tissue sarcoma,"
Chemotherapy
,
CT scan
,
MRI
,
Needle biopsy
,
Positron emission tomography scan
,
Radiation therapy
,
Ultrasound
,
X-ray
,"
370,Ulcerative colitis,"Diarrhea, often with blood or pus,Abdominal pain and cramping,Rectal pain,Rectal bleeding — passing small amount of blood with stool,Urgency to defecate,Inability to defecate despite urgency,Weight loss,Fatigue,Fever,In children, failure to grow,"
371,Absence seizure,"Sudden stop in motion without falling,Lip smacking,Eyelid flutters,Chewing motions,Finger rubbing,Small movements of both hands,"
372,Heart attack,"Pressure, tightness, pain, or a squeezing or aching sensation in your chest or arms that may spread to your neck, jaw or back,Nausea, indigestion, heartburn or abdominal pain,Shortness of breath,Cold sweat,Fatigue,Lightheadedness or sudden dizziness,"
373,Self-injury/cutting,"Scars, often in patterns,Fresh cuts, scratches, bruises, bite marks or other wounds,Excessive rubbing of an area to create a burn,Keeping sharp objects on hand,Wearing long sleeves or long pants, even in hot weather,Frequent reports of accidental injury,Difficulties in interpersonal relationships,Behavioral and emotional instability, impulsivity and unpredictability,Statements of helplessness, hopelessness or worthlessness,"
374,Temporal lobe seizure,"A sudden sense of unprovoked fear or joy,A deja vu experience — a feeling that what's happening has happened before,A sudden or strange odor or taste,A rising sensation in the abdomen, similar to being on a roller coaster,"
375,Childhood apraxia of speech,"Delayed onset of first words,A limited number of spoken words,The ability to form only a few consonant or vowel sounds,"
376,Vaginitis,"Change in color, odor or amount of discharge from your vagina,Vaginal itching or irritation,Pain during intercourse,Painful urination,Light vaginal bleeding or spotting,"
377,Shellfish allergy,"Hives, itching or eczema (atopic dermatitis),Swelling of the lips, face, tongue and throat, or other parts of the body,Wheezing, nasal congestion or trouble breathing,Abdominal pain, diarrhea, nausea or vomiting,Dizziness, lightheadedness or fainting,"
378,Ulnar wrist pain,"
Ulnar Wrist Pain
,"
379,Scarlet fever,"Red rash. The rash looks like a sunburn and feels like sandpaper. It typically begins on the face or neck and spreads to the trunk, arms and legs. If pressure is applied to the reddened skin, it will turn pale.,Red lines. The folds of skin around the groin, armpits, elbows, knees and neck usually become a deeper red than the surrounding rash.,Flushed face. The face may appear flushed with a pale ring around the mouth.,Strawberry tongue. The tongue generally looks red and bumpy, and it's often covered with a white coating early in the disease.,"
380,Black hairy tongue,"Black discoloration of the tongue, although the color may be brown, tan, green, yellow or white,A hairy or furry appearance of the tongue,Altered taste or metallic taste in your mouth,Bad breath (halitosis),Gagging or tickling sensation, if the overgrowth of the papillae is excessive,"
381,Posterior vaginal prolapse (rectocele),"A soft bulge of tissue in your vagina that might protrude through the vaginal opening,Difficulty having a bowel movement,Sensation of rectal pressure or fullness,A feeling that the rectum has not completely emptied after a bowel movement,Sexual concerns, such as feeling embarrassed or sensing looseness in the tone of your vaginal tissue,"
382,Bed-wetting,"
Home Remedies: Patience to reduce bed-wetting
June 26, 2019, 09:00 p.m.  CDT
,"
383,Factitious disorder,"Extensive knowledge of medical terms and diseases,Vague or inconsistent symptoms,Conditions that get worse for no apparent reason,Conditions that don't respond as expected to standard therapies,Seeking treatment from many different doctors or hospitals, which may include using a fake name,Reluctance to allow doctors to talk to family or friends or to other health care professionals,Frequent stays in the hospital,Eagerness to have frequent testing or risky operations,Many surgical scars or evidence of numerous procedures,Having few visitors when hospitalized,Arguing with doctors and staff,"
384,Esophageal varices,"
Capsule endoscopy
,
CT scan
,
Liver transplant
,
MRI
,"
385,Mumps,"Symptoms & causes,Diagnosis & treatment,"
386,Brugada syndrome,"Symptoms & causes,Diagnosis & treatment,Doctors & departments,"
387,Hepatitis B,"Symptoms & causes,Diagnosis & treatment,Doctors & departments,"
388,Geographic tongue,"Smooth, red, irregularly shaped patches (lesions) on the top or side of your tongue,Frequent changes in the location, size and shape of lesions,Discomfort, pain or burning sensation in some cases, most often related to eating spicy or acidic foods,"
389,Wheat allergy,"Swelling, itching or irritation of the mouth or throat,Hives, itchy rash or swelling of the skin,Nasal congestion,Headache,Difficulty breathing,Cramps, nausea or vomiting,Diarrhea,Anaphylaxis,"
390,Autism spectrum disorder,"
Cognitive behavioral therapy
,"
391,Rectal cancer,"A change in your bowel habits, such as diarrhea, constipation or more-frequent bowel movements,Dark or red blood in stool,Mucus in stool,Narrow stool,Abdominal pain,Painful bowel movements,Iron deficiency anemia,A feeling that your bowel doesn't empty completely,Unexplained weight loss,Weakness or fatigue,"
392,Cleft lip and cleft palate,"A split in the lip and roof of the mouth (palate) that affects one or both sides of the face,A split in the lip that appears as only a small notch in the lip or extends from the lip through the upper gum and palate into the bottom of the nose,A split in the roof of the mouth that doesn't affect the appearance of the face,"
393,Ectopic pregnancy,"Severe abdominal or pelvic pain accompanied by vaginal bleeding,Extreme lightheadedness or fainting,Shoulder pain,"
394,Undifferentiated pleomorphic sarcoma,"Growing lump or area of swelling,If it grows very large, there may be pain, tingling and numbness,If it occurs in an arm or leg, there may be swelling in the hand or foot of an affected limb,If it occurs in the abdomen, there may be pain, loss of appetite and constipation,Fever,Weight loss,"
395,Overactive bladder,"Feel a sudden urge to urinate that's difficult to control,Experience unintentional loss of urine immediately after an urgent need to urinate (urgency incontinence),Urinate frequently, usually eight or more times in 24 hours,Wake up more than two times in the night to urinate (nocturia),"
396,Stomach cancer,"Fatigue,Feeling bloated after eating,Feeling full after eating small amounts of food,Severe, persistent heartburn,Severe indigestion that is always present,Unexplained, persistent nausea,Stomach pain,Persistent vomiting,Unintentional weight loss,"
397,Essential tremor,"
Deep brain stimulation
,"
398,Functional dyspepsia,"
Mayo Clinic Q and A: Functional dyspepsia can significantly affect quality of life
March 01, 2019, 07:30 p.m.  CDT
,"
399,Low sperm count,"Problems with sexual function — for example, low sex drive or difficulty maintaining an erection (erectile dysfunction),Pain, swelling or a lump in the testicle area,Decreased facial or body hair or other signs of a chromosome or hormone abnormality,"
400,Bundle branch block,"Fainting (syncope),Feeling as if you're going to faint (presyncope),"
401,Restless legs syndrome,"Sensations that begin after rest. The sensation typically begins after you've been lying down or sitting for an extended time, such as in a car, airplane or movie theater.,Relief with movement. The sensation of RLS lessens with movement, such as stretching, jiggling your legs, pacing or walking.,Worsening of symptoms in the evening. Symptoms occur mainly at night.,Nighttime leg twitching. RLS may be associated with another, more common condition called periodic limb movement of sleep, which causes your legs to twitch and kick, possibly throughout the night, while you sleep.,"
402,Hodgkin's lymphoma (Hodgkin's disease),"Painless swelling of lymph nodes in your neck, armpits or groin,Persistent fatigue,Fever,Night sweats,Unexplained weight loss,Severe itching,Increased sensitivity to the effects of alcohol or pain in your lymph nodes after drinking alcohol,"
403,Acute liver failure,"Yellowing of your skin and eyeballs (jaundice),Pain in your upper right abdomen,Abdominal swelling,Nausea,Vomiting,A general sense of feeling unwell (malaise),Disorientation or confusion,Sleepiness,"
404,Vaginal fistula,"
Computerized tomography (CT) urogram
,"
405,Central nervous system vascular malformations,"
Book: Mayo Clinic Family Health Book, 5th Edition
,
Newsletter: Mayo Clinic Health Letter — Digital Edition
,"
406,Barrett's esophagus,"Frequent heartburn and regurgitation of stomach contents,Difficulty swallowing food,Less commonly, chest pain,"
407,Tongue-tie (ankyloglossia),"Difficulty lifting the tongue to the upper teeth or moving the tongue from side to side,Trouble sticking out the tongue past the lower front teeth,A tongue that appears notched or heart shaped when stuck out,"
408,Bipolar disorder,"Bipolar I disorder. You've had at least one manic episode that may be preceded or followed by hypomanic or major depressive episodes. In some cases, mania may trigger a break from reality (psychosis).,Bipolar II disorder. You've had at least one major depressive episode and at least one hypomanic episode, but you've never had a manic episode.,Cyclothymic disorder. You've had at least two years — or one year in children and teenagers — of many periods of hypomania symptoms and periods of depressive symptoms (though less severe than major depression).,Other types. These include, for example, bipolar and related disorders induced by certain drugs or alcohol or due to a medical condition, such as Cushing's disease, multiple sclerosis or stroke.,"
409,Common variable immunodeficiency,"
Book: Mayo Clinic Family Health Book, 5th Edition
,
Newsletter: Mayo Clinic Health Letter — Digital Edition
,"
410,Pinworm infection,"Itching of the anal or vaginal area,Insomnia, irritability, teeth grinding and restlessness,Occasional stomach pain and nausea,"
411,Wilms' tumor,"An abdominal mass you can feel,Abdominal swelling,Abdominal pain,"
412,Salivary gland tumors,"A lump or swelling on or near your jaw or in your neck or mouth,Numbness in part of your face,Muscle weakness on one side of your face,Persistent pain in the area of a salivary gland,Difficulty swallowing,Trouble opening your mouth widely,"
413,Tay-Sachs disease,"Loss of motor skills, including turning over, crawling and sitting up,Exaggerated reactions when the baby hears loud noises,Seizures,Vision and hearing loss,""Cherry-red"" spots in the eyes,Muscle weakness,Movement problems,"
414,Pericardial effusion,"Symptoms & causes,Diagnosis & treatment,Doctors & departments,"
415,Sleep-related eating disorder,"Frequent episodes, generally nightly, of eating and drinking in an out-of-control manner,Impaired consciousness while preparing and eating food,Little or no memory of these actions the next morning,Eating high-carbohydrate and high-fat foods or odd combinations of food,Possibly eating inedible or toxic substances, such as frozen foods, coffee grounds, cleaning solutions or cigarette butts,Possibly experiencing injuries or engaging in dangerous food preparation activities,Not being easily awakened or redirected during the episode,Experiencing a negative impact on your health from the nighttime eating,"
416,Autoimmune hepatitis,"Fatigue,Abdominal discomfort,Yellowing of the skin and whites of the eyes (jaundice),An enlarged liver,Abnormal blood vessels on the skin (spider angiomas),Skin rashes,Joint pains,Loss of menstrual periods,"
417,Meningitis,"Sudden high fever,Stiff neck,Severe headache that seems different than normal,Headache with nausea or vomiting,Confusion or difficulty concentrating,Seizures,Sleepiness or difficulty waking,Sensitivity to light,No appetite or thirst,Skin rash (sometimes, such as in meningococcal meningitis),"
418,Persistent depressive disorder (dysthymia),"Loss of interest in daily activities,Sadness, emptiness or feeling down,Hopelessness,Tiredness and lack of energy,Low self-esteem, self-criticism or feeling incapable,Trouble concentrating and trouble making decisions,Irritability or excessive anger,Decreased activity, effectiveness and productivity,Avoidance of social activities,Feelings of guilt and worries over the past,Poor appetite or overeating,Sleep problems,"
419,Amenorrhea,"Milky nipple discharge,Hair loss,Headache,Vision changes,Excess facial hair,Pelvic pain,Acne,"
420,Vascular dementia,"Confusion,Trouble paying attention and concentrating,Reduced ability to organize thoughts or actions,Decline in ability to analyze a situation, develop an effective plan and communicate that plan to others,Difficulty deciding what to do next,Problems with memory,Restlessness and agitation,Unsteady gait,Sudden or frequent urge to urinate or inability to control passing urine,Depression or apathy,"
421,Spermatocele,"Pain or discomfort in the affected testicle,Heaviness in the testicle with the spermatocele,Fullness behind and above the testicle,"
422,Addison's disease,"Extreme fatigue,Weight loss and decreased appetite,Darkening of your skin (hyperpigmentation),Low blood pressure, even fainting,Salt craving,Low blood sugar (hypoglycemia),Nausea, diarrhea or vomiting (gastrointestinal symptoms),Abdominal pain,Muscle or joint pains,Irritability,Depression or other behavioral symptoms,Body hair loss or sexual dysfunction in women,"
423,Hiatal hernia,"
Upper endoscopy
,"
424,Diabetes,"Increased thirst,Frequent urination,Extreme hunger,Unexplained weight loss,Presence of ketones in the urine (ketones are a byproduct of the breakdown of muscle and fat that happens when there's not enough available insulin),Fatigue,Irritability,Blurred vision,Slow-healing sores,Frequent infections, such as gums or skin infections and vaginal infections,"
425,Migraine with aura,"Blind spots (scotomas), which are sometimes outlined by simple geometric designs,Zigzag lines that gradually float across your field of vision,Shimmering spots or stars,Changes in vision or vision loss,Flashes of light,"
426,IgA nephropathy (Berger's disease),"Cola- or tea-colored urine (caused by red blood cells in the urine),Repeated episodes of cola- or tea-colored urine, and sometimes visible blood in your urine, usually during or after an upper respiratory or other infection and sometimes after strenuous exercise,Foamy urine from protein leaking into your urine (proteinuria),Pain in the one or both sides of your back below your ribs,Swelling (edema) in your hands and feet,High blood pressure,"
427,Angiosarcoma,"A raised, purplish area of skin that looks like a bruise,A bruise-like lesion that grows larger over time,A lesion that may bleed when scratched or bumped,Swelling in the surrounding skin,"
428,Interstitial lung disease,"Shortness of breath at rest or aggravated by exertion,Dry cough,"
429,Erectile dysfunction,"Trouble getting an erection,Trouble keeping an erection,Reduced sexual desire,"
430,Nearsightedness,"Blurry vision when looking at distant objects,The need to squint or partially close the eyelids to see clearly,Headaches caused by eyestrain,Difficulty seeing while driving a vehicle, especially at night (night myopia),"
431,Drug addiction (substance use disorder),"Feeling that you have to use the drug regularly — daily or even several times a day,Having intense urges for the drug that block out any other thoughts,Over time, needing more of the drug to get the same effect,Taking larger amounts of the drug over a longer period of time than you intended,Making certain that you maintain a supply of the drug,Spending money on the drug, even though you can't afford it,Not meeting obligations and work responsibilities, or cutting back on social or recreational activities because of drug use,Continuing to use the drug, even though you know it's causing problems in your life or causing you physical or psychological harm,Doing things to get the drug that you normally wouldn't do, such as stealing,Driving or doing other risky activities when you're under the influence of the drug,Spending a good deal of time getting the drug, using the drug or recovering from the effects of the drug,Failing in your attempts to stop using the drug,Experiencing withdrawal symptoms when you attempt to stop taking the drug,"
